"Parent2Name","Parent1Name","Now_Parent1Reference","CustomerName","Now_Reference","ComputerName","DeviceName","DeviceId","Now_Product.OsType","Now_Physicality","PhysicalServer","VirtualServer","Workstation","Documents","RecoveryTesting","O365Users","CustomerState","CreationDate","ProductionDate","DeviceDeletionDate","SelectedSizeGb","UsedStorageGb"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-DC01","eco-dc01_yfom1","4088929",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","72.42","39.12"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-WEB01","eco-web01_8e74l","4088917",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","66.78","35.08"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-EAC01","eco-eac01_qi70n","4088904",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","93.13","59.45"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-FS01","eco-fs01_rmqn0","4088899",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","490.08","475.24"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-RDSH03-2016","eco-rdsh03-2016_d7krh","4088922",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","93.56","49.53"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-FS02","eco-fs02_bdlhx","4088900",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","778.18","546.28"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-RDSH02-2016","eco-rdsh02-2016_wyqa7","4088926",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","103.94","66.49"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-BRGW01","eco-brgw01_k3kgl","4088930",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","68.69","35.48"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-NAVISION","eco-navision_9ubx0","4088903",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","136.72","99.3"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","TS-NAV","ts-nav_hwrwm","4088919",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","153.67","65.74"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","ECO-MGT01","eco-mgt01_gxlmi","4088897",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","65.38","41.57"
,"Cubics","CUB","Eco Steam and Heating B.V.","ECO","W12R2SQL14","w12r2sql14_prkae","4088920",,"Virtual",,"1",,,,,"InProduction","11/1/2022 12:00:00 AM","12/2/2022 12:00:00 AM","","74.93","29.93"
,"Cubics","CUB","West-Brabant Corridor","","WBC-PFS01","wbc-pfs01_5zsrd","4110839",,"Virtual",,"1",,,,,"InProduction","11/21/2022 12:00:00 AM","12/19/2022 12:00:00 AM","","148.13","113.43"
,"Cubics","CUB","West-Brabant Corridor","","WBC-RDSH02","wbc-rdsh02_q6i9o","4110849",,"Virtual",,"1",,,,,"InProduction","11/21/2022 12:00:00 AM","12/19/2022 12:00:00 AM","","62.81","27.5"
,"Cubics","CUB","West-Brabant Corridor","","* M365 - westbrabantcorridor.onmicrosoft.com","westbrabantcorridor.onmicrosoft.com","4113242",,"Cloud",,,,,,"19","InProduction","11/23/2022 12:00:00 AM","12/19/2022 12:00:00 AM","","29.69","16.03"
,"Cubics","CUB","West-Brabant Corridor","","WBC-DC01","wbc-dc01_itp41","4110833",,"Virtual",,"1",,,,,"InProduction","11/21/2022 12:00:00 AM","12/19/2022 12:00:00 AM","","54.74","22.49"
,"Cubics","CUB","West-Brabant Corridor","","WBC-DB01","wbc-db01_uneb0","4110838",,"Virtual",,"1",,,,,"InProduction","11/21/2022 12:00:00 AM","12/19/2022 12:00:00 AM","","242.5","271.71"
,"Cubics","CUB","West-Brabant Corridor","","WBC-RDGW01","wbc-rdgw01_w0aol","4110845",,"Virtual",,"1",,,,,"InProduction","11/21/2022 12:00:00 AM","12/19/2022 12:00:00 AM","","55.83","17.55"
,"Cubics","CUB","West-Brabant Corridor","","WBC-RDSH01","wbc-rdsh01_6sgst","4110846",,"Virtual",,"1",,,,,"InProduction","11/21/2022 12:00:00 AM","12/19/2022 12:00:00 AM","","61.64","28.16"
